STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001099999,30-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.5,24,21.3,24,986.2,24,985,24,6.4,4,15,24,24.3,31.5,28.9, ,19.4, ,0,G,999.9,1000
1001099999,31-01-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.7,24,15.1,24,981.9,24,980.7,24,15.4,4,17.3,24,31.9,45.3,25.9, ,18.7, ,0.01,G,999.9,0
1001099999,01-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.9,24,11.5,24,986.9,24,985.7,24,17.4,4,13,24,22.7,41.4,24.1, ,18, ,0.01,G,999.9,1000
1001099999,02-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",17.9,24,8.4,24,983.1,24,981.9,24,18.6,4,10.8,24,21,28.9,21.7, ,16, ,0,G,999.9,0
1001099999,03-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",21.2,24,13.1,24,985.1,24,983.9,24,11.2,4,18,24,27.4,41.2,23.5, ,16.7, ,0,G,999.9,1000
1001099999,04-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",19.9,24,12,24,994.6,24,993.4,24,6.5,4,17.8,24,25.6,39.8,23.5, ,16.9, ,0.01,G,999.9,1000
1001099999,05-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.2,24,21.7,24,991.8,24,990.6,24,8.8,4,19.4,24,29.7,51.9,32.7, ,17.8, ,0.06,G,999.9,1000
1001099999,06-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28.8,24,22.9,24,1005.6,24,4.4,24,24.9,4,15.7,24,25.1,35.5,32, ,24.1, ,0.13,G,999.9,0
1001099999,07-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.4,24,20.2,24,1009.2,24,8,24,15.5,4,18.7,24,24.3,35.4,30.6, ,23.9, ,0,G,999.9,11100
1001099999,08-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.5,24,18.5,24,1007.6,24,6.4,24,12.4,4,14.8,24,21.2,27.8,27, ,23.4, ,99.99, ,999.9,1000
1001099999,09-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.2,24,18.6,24,1008.9,24,7.7,24,27,4,13.2,24,17.3,22.9,27, ,24.8, ,0,I,999.9,0
1001099999,10-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.8,24,17.7,24,1011.4,24,10.2,24,29.5,4,9,24,15.7,24.3,26.2, ,19, ,0.12,G,999.9,0
1001099999,11-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.3,24,17.7,24,1014.5,24,13.3,24,21,4,15.5,24,20.2,23.7,26.4, ,20.8, ,0,G,999.9,0
1001099999,12-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.7,24,24.2,24,1009.6,24,8.4,24,15.8,4,12.4,24,18.6,25.3,33.3, ,25.5, ,99.99, ,999.9,1000
1001099999,13-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.2,24,28.2,24,992.6,24,991.4,24,5.3,4,16.6,24,31.7,50.5,35.2, ,27.1, ,99.99, ,999.9,11000
1001099999,14-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.5,24,19.8,24,998.7,24,997.5,24,8.7,4,21.3,24,35.2,48.4,31.3, ,19, ,0.08,G,999.9,0
1001099999,15-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",14.6,19,6.9,19,1003.2,19,2,19,7.6,4,17.8,19,30.1,50.1,30.6, ,8.8, ,0.05,G,999.9,1000
1001099999,16-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",15.4,24,1.8,24,1012.6,24,11.4,24,14.8,4,8.6,24,12.8,32.6,19, ,9.3, ,0.02,G,999.9,1000
1001099999,17-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",17.7,24,8.4,24,1019.9,24,18.7,24,18.6,4,7.3,24,13.4,23.9,25, ,9.5, ,0,G,999.9,0
1001099999,18-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28.6,24,25.6,24,1014.3,24,13.1,24,5.4,4,4.1,24,14.2,19,31.6, ,21.7, ,99.99, ,999.9,1000
1001099999,19-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.5,24,29.8,24,1005.3,24,4.1,24,19.9,4,9.1,24,18.6,24.9,33.3, ,28, ,0.06,G,999.9,0
1001099999,20-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34,24,33.2,24,995.3,24,994.1,24,0.8,4,13.6,24,19.4,26,34.9, ,31.8, ,0.02,G,999.9,110000
1001099999,21-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",33.6,23,32.2,23,985.4,23,984.2,23,6.7,4,12.5,23,19,25.1,34.9, ,30.6, ,0.05,G,999.9,10000
1001099999,22-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",35.3,24,31.4,24,979.3,24,978.2,24,8.9,4,9.9,24,18.3,26,36.7, ,30.6, ,0,G,999.9,0
1001099999,23-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",31.7,24,28.8,24,983.5,24,982.3,24,12.2,4,23.4,24,34.6,52.4,36.1, ,29.1, ,0,G,999.9,11000
1001099999,24-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",24.7,24,21.4,24,991.5,24,990.3,24,2.8,4,28.5,24,34.2,49.3,31.3, ,22.3, ,0.13,G,999.9,1000
1001099999,25-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.5,24,15.9,24,999.2,24,998,24,9.9,4,11.6,24,18.5,30.7,23.5, ,16.2, ,0.06,G,999.9,0
1001099999,26-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",30.1,24,28.4,24,988.6,24,987.4,24,2.6,4,11.4,24,22,30.3,32.9, ,16.2, ,0.15,G,999.9,1000
1001099999,27-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.5,24,31.4,24,970.9,24,969.8,24,3,4,6.5,24,29.3,37.3,36.3, ,27.7, ,0.46,G,999.9,110000
1001099999,28-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",13.4,23,8,23,981.2,23,980,23,2,4,22,23,37.1,55.9,33.8, ,8.4, ,0.28,G,999.9,1000
1001099999,29-02-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",14.8,24,5.6,24,988.7,24,987.5,24,15.4,4,11.9,24,21,35,18.1,*,10.2, ,0.06,G,999.9,1000
1001099999,01-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.3,23,18.3,23,999,23,997.8,23,3.2,4,24.2,23,32.2,44.3,26.4, ,15.3, ,0,G,999.9,1000
1001099999,02-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.1,24,20.1,24,1016.6,24,15.4,24,9,4,12.8,24,26,39,25, ,19.4, ,0.07,G,999.9,0
1001099999,03-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.3,24,23.8,24,1021.7,24,20.5,24,15.5,4,9.5,24,15,19.6,31.1, ,19.4, ,0,G,999.9,0
1001099999,04-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.4,24,33.1,24,1017.6,24,16.3,24,6.1,4,11.9,24,17.1,23.1,36.1, ,28.4, ,99.99, ,999.9,10000
1001099999,05-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",33.3,24,32.8,24,1021.4,24,20.2,24,0.2,4,3.5,24,8.4,17.3,36.1, ,32.4, ,0.03,G,999.9,110000
1001099999,06-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.9,24,34,24,1027.4,24,26.2,24,3,4,5.1,24,11.1,19.8,36.5, ,33.1, ,0.02,G,999.9,10000
1001099999,07-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.8,23,32,23,1027.3,23,26.1,23,1.1,4,4.1,23,8.5,17.3,36, ,30.7, ,0.02,G,999.9,110000
1001099999,08-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.2,24,31.8,24,1028.4,24,27.2,24,5.2,4,6.1,24,11.5,14,33.8, ,30.7, ,0,G,999.9,100000
1001099999,09-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",31.4,24,31.1,24,1028.1,24,26.9,24,0.2,4,2.5,24,5.6,13,33.3, ,28, ,0,I,999.9,100000
1001099999,10-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.9,24,28.9,24,1024.8,24,23.6,24,15.8,4,1.8,24,7.8,10.5,33.4, ,25, ,0,I,999.9,100000
1001099999,11-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",31.2,24,28.2,24,1021.7,24,20.5,24,15.5,4,6.7,24,17.7,22.5,34, ,27.1, ,0,G,999.9,0
1001099999,12-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28,24,25.6,24,1020.2,24,19,24,8.2,4,7,24,14.4,18.5,30, ,26.1, ,0,G,999.9,1000
1001099999,13-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.4,24,21.6,24,1010.8,24,9.6,24,12.4,4,13.8,24,26.2,37.5,30.2,*,19.2, ,0.01,G,999.9,1000
1001099999,14-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",19.3,24,12.7,24,1006.4,24,5.2,24,7.1,4,23.8,24,32.1,43.5,23.5, ,13.8, ,0,G,999.9,0
1001099999,15-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",8.3,24,0,24,1017,24,15.7,24,3.7,4,16,24,20.2,30.3,18.1, ,1.8, ,0,G,999.9,1000
1001099999,16-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",6.6,24,-3.7,24,1022.4,24,21.2,24,14,4,8.5,24,13.4,23.3,13.1, ,1.8, ,0.02,G,999.9,1000
1001099999,17-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",19,24,10.1,24,1011.1,24,9.9,24,11.2,4,10.5,24,29.5,39,23.9, ,8.4, ,0,G,999.9,0
1001099999,18-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.7,24,18.6,24,1006.2,24,5,24,13,4,12.8,24,26.2,55.4,30.2, ,21.2, ,0,I,999.9,0
1001099999,19-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.6,22,23.7,22,1002.9,22,1.7,22,11.2,4,23.4,22,38.9,59.2,37.4, ,26.2, ,0,I,999.9,0
1001099999,20-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",35.6,24,28.5,24,996,24,994.8,24,6.4,4,19.9,24,28,53.8,39, ,31.6, ,99.99, ,999.9,11000
1001099999,21-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",35.7,24,32.1,24,992.8,24,991.7,24,7.3,4,21.4,24,26.8,35.7,37.6, ,34, ,99.99, ,999.9,10000
1001099999,22-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",35.5,24,29.5,24,999.9,24,998.8,24,12.9,4,24.8,24,31.1,45.6,38.5, ,30.7, ,99.99, ,999.9,10000
1001099999,23-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",24.1,24,18.6,24,1019.7,24,18.5,24,8.7,4,19.8,24,27.2,42.5,33.1, ,16.3, ,99.99, ,999.9,1000
1001099999,24-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.4,24,14.2,24,1019.3,24,18.1,24,19.4,4,14.2,24,21.8,28.9,27.5, ,16.2, ,99.99, ,999.9,1000
1001099999,25-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.2,24,17,24,1018.7,24,17.5,24,4.5,4,16.4,24,25.4,33.6,27.5, ,19, ,99.99, ,999.9,1000
1001099999,26-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.3,17,17.2,17,1014.7,17,13.5,17,14.8,4,13.9,17,19.6,27.6,27.5, ,24.3, ,0.08,G,999.9,1000
1001099999,27-03-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.5,15,15.3,15,1013.4,15,12.2,15,31.8,4,8.8,15,12.8,16.9,27.5, ,22.5, ,0,G,999.9,0
1001099999,01-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.6,6,10.9,6,1035.3,6,34.1,6,999.9,0,13.1,6,17.5,29.3,23.2, ,20.1, ,0,G,999.9,0
1001099999,02-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",21.2,7,12.1,7,1031.1,7,29.9,7,999.9,0,8,7,12.6,19.4,23.5, ,19.4, ,0,I,999.9,0
1001099999,03-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",27.3,24,19.3,24,1019.9,24,18.7,24,16.3,4,6.6,24,12.8,17.9,30.2, ,21.9, ,99.99, ,999.9,1000
1001099999,04-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.5,24,17.2,24,1015.7,24,14.5,24,30.3,4,13.5,24,23.7,32.2,27.3, ,19.9, ,0,G,999.9,0
1001099999,05-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22,24,15.5,24,1015.5,24,14.3,24,5.6,4,17.2,24,21.6,31.3,23.4, ,19.4, ,0.05,G,999.9,1000
1001099999,06-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",21.3,24,12.7,24,1015.3,24,14.1,24,14,4,12.1,24,19.2,27.2,22.5, ,19.4, ,0.01,G,999.9,1000
1001099999,07-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",25.6,24,16.8,24,1004.9,24,3.7,24,31.8,4,11.3,24,20.8,29.5,28.9, ,20.3, ,0,G,999.9,1000
1001099999,08-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28.5,24,21.2,24,1004.8,24,3.6,24,14.4,4,12.6,24,21.2,38.7,30.9, ,25.2, ,0,G,999.9,1000
1001099999,09-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28.3,24,23.8,24,1008.2,24,7,24,17.9,4,20,24,26.4,37.7,29.8, ,25.2, ,99.99, ,999.9,1000
1001099999,10-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",26.4,24,22.5,24,1007.9,24,6.7,24,21.7,4,13.1,24,15.7,21.4,29.7, ,22.3, ,0,G,999.9,1000
1001099999,11-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",20.7,24,14.8,24,1007.4,24,6.2,24,38.8,4,11.3,24,15.9,21.2,24.3, ,18.9, ,0,G,999.9,1000
1001099999,12-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",19.6,24,13.2,24,998.4,24,997.2,24,3.3,4,23.1,24,34,45.6,23.7, ,14.9, ,0,G,999.9,1000
1001099999,13-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",16.5,24,5.4,24,997.6,24,996.4,24,22.5,4,22.7,24,32.8,44.3,19.6, ,13.3, ,0.04,G,999.9,0
1001099999,14-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22.8,24,11.6,24,998.5,24,997.3,24,27.2,4,14.1,24,23.1,39,25.7,*,17.6, ,0,G,999.9,1000
1001099999,15-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.2,22,22.3,22,1009.6,22,8.4,22,26.4,4,11.2,22,19.8,28.2,33.4, ,23, ,99.99, ,999.9,1000
1001099999,16-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",29.2,14,20.9,14,1019.4,14,18.2,14,45.1,4,10.4,14,25.1,34.6,30.9, ,27.9, ,0,G,999.9,0
1001099999,17-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",27.7,8,22.8,8,1013.5,8,12.3,8,5,4,14.4,8,27.2,999.9,32.5, ,20.1, ,0,G,999.9,1000
1001099999,18-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",22,9,15.5,9,1006.8,9,5.6,9,11,4,9.7,9,18.5,35.4,23.9, ,19.6, ,0.04,G,999.9,1000
1001099999,19-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",23.8,12,15.9,12,1012.2,12,11,12,25.6,4,13.8,12,22.7,38.9,27.3, ,19.2, ,0.01,G,999.9,0
1001099999,20-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32,11,27.3,11,1018.3,11,17.1,11,23.8,4,16.2,11,25.3,31.1,35.8, ,22.5, ,0,G,999.9,1000
1001099999,21-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",35.2,12,33.4,12,1005.9,12,4.7,12,4,4,17.9,12,21.4,26.4,36.5, ,30, ,0.03,G,999.9,10000
1001099999,22-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",27.3,12,20,12,1021.9,12,20.7,12,34.2,4,17.1,12,30.9,45.1,34.9, ,24.1, ,0.19,G,999.9,0
1001099999,23-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.7,12,19.1,12,1026.3,12,25.1,12,44.3,4,12.6,12,23.3,25.8,39, ,27.5, ,0,G,999.9,0
1001099999,24-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",30.3,10,26.6,10,1022.8,10,21.5,10,18.6,4,3,10,4.3,999.9,37.9, ,28, ,0,A,999.9,100000
1001099999,25-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",32.2,9,27.7,9,1021.8,9,20.6,9,16.2,4,6.5,9,14.2,19.4,37, ,26.8, ,0,G,999.9,100000
1001099999,26-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",34.2,12,31.2,12,1020.6,12,19.4,12,8,4,14.9,12,24.5,31.5,38.8, ,30.7, ,0,G,999.9,110000
1001099999,27-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",36.9,10,32.1,10,1024.7,10,23.5,10,20.3,4,3,10,4.3,10.1,39, ,33.8, ,0,G,999.9,100000
1001099999,28-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",36.5,11,31,11,1025,11,23.8,11,28.7,4,5.5,11,15.2,17.3,38.5, ,35.4, ,0,G,999.9,10000
1001099999,29-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",37,11,31.5,11,1023.5,11,22.3,11,29.5,4,4.7,11,7.8,13.4,39.2, ,35.4, ,0,G,999.9,0
1001099999,30-04-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",36.7,12,30.7,12,1023.5,12,22.3,12,26.4,4,4.5,12,9.5,16.7,38.7, ,35.2, ,0,G,999.9,11000
1001099999,02-05-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",31.9,11,29.9,11,1019.9,11,18.7,11,1.1,4,26.7,11,34.4,38.5,37, ,29.8, ,0.11,G,999.9,110000
1001099999,03-05-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",28,19,24.6,19,1023.4,19,22.2,19,6.1,4,19.2,19,33,45.8,30.7, ,26.6, ,0.03,G,999.9,1000
1001099999,04-05-24,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",30.4,24,27.3,24,1023,24,21.8,24,20.2,4,8.7,24,16.5,31.1,34.7,*,25.9, ,0.01,G,999.9,1000
